ID,name,type,mana,T power,P power,B power,casual power,Description
1,Electrifying Fox,creature,7,200,100,100,600,"When this creature is attacked, it gets +100 casual power"
2,Tied up Soul,Spell,5,-1,-1,-1,-1,Your opponent discards 3 cards at random from his hand. For each discarded creature your opponent destroys one of his creatures in the battle zone
3,Crazy Fangtooth,creature,1,200,100,0,200,This creature gest +100 casual power for each tapped creature in its current biome
4,Dimenstional Monster,creature,3,100,0,400,200,This creature can't protect turrets
5,Illusional Beast,creature,5,0,0,0,800,For each other creature in its current biome this creature gets - 100 casual power
6,Search for the Soulmate,Spell,3,-1,-1,-1,-1,"Search your deck. You may take a creature from your deck, show that creature to your opponent and put it into yur hand. Then shuffle your deck"
7,Harbinger of Doom,creature,7,100,100,0,800,"When this creature wins a battle, your opponent discards a card at random from his hand"
8,Death of Silence,creature,4,0,200,100,400,
9,Wild Power,Spell,3,-1,-1,-1,-1,Choose one biome. All your creatures in chosen biome get +200 casual power until the end of your and your opponent's turn
10,Blue Knight,creature,1,0,100,100,200,
11,Healing Fireplace,Spell,5,-1,-1,-1,-1,You may draw a card and heal 1/4 of chosen turret
12,"Give me a drink, bartender",Spell,4,-1,-1,-1,-1,"Draw 2 cards and if you have no cards in your hand, draw another one"
13,Arctic Protector,creature,5,200,100,200,200,"When this creature protects anything, it gets +200 casual power"
14,Quick Teleportation,Spell,1,-1,-1,-1,-1,Move any creature in the battle zone into chosen biome
15,Catastrophic Failure,creature,5,200,100,0,700,This creature dies when battle creatures with 500 casual power and more
16,Colossus Giant,creature,8,0,200,100,600,In the battle opponent's additional power doesn't work
17,Tropical Murder,creature,2,200,0,100,400,"When this creature wins a battle, destroy it"
18,Woody Lord,creature,4,300,200,-100,300,
19,Skullcrawler Rider ,creature,4,200,100,0,500,
20,Desertic Nomads,creature,6,200,200,0,400,"When this creature protects a turret, nothing happens"
21,Weaken the Concentration,Spell,4,-1,-1,-1,-1,Choose a card in your opponent's mana and destroy it 
22,Lovely hamster,creature,2,100,0,200,100,"When you put this creature into the battle zone, you may draw a card"
23,Beach Maggot,creature,2,200,100,0,300,
24,Toxic Mushrooms,creature,3,300,0,100,200,
25,Purple Nightmare,creature,2,100,0,200,300,
26,Deadly Fungus,creature,3,200,100,200,300,
27,Adjoining Toxicity,creature,3,0,200,100,200,This creature may attack other creatures in adjoining biomes
28,Untouchable Assasin,creature,7,0,200,100,700,This creature can't be blocked
29,Warden of Weakness,creature,3,100,0,200,100,All opponent's creatures in its current biome get  -100 casual power
30,Angel of Weirdness,creature,8,100,0,200,900,
31,Childhood's love,creature,3,0,100,100,200,Symbiosis 1
32,Horses of Mana,creature,2,200,100,0,200,"When you put this creature into your battle zone, put the top card of your deck into your mana"
33,Mana Prey,Spell,3,-1,-1,-1,-1,"You may destroy one of your creatures. If you succeed, put the top 2 cards of your deck into your mana. "
34,Colourful Trio,creature,4,200,0,100,400,"When you put this creature into your battle zone and there are at least one of your creatures in each biome, put the top 2 cards of your deck into your mana"
35,Desertic Nomad's Bird,creature,5,200,200,0,300,"Symbiosis 2, Flyer "
36,Distraction Gases,creature,1,0,100,100,200,"When you put this creature into your battle zone, you and your opponent  put the top card of your deck into your mana"
37,Flying Fugitive,creature,5,200,200,200,100,"Flyer , Healer 1/4"
38,Three-headed Sludge,creature,4,100,0,200,250,"Symbiosis 2,  In the symbiotic form, this creature's ( without power of the second creture) casual power doubles"
39,End of Cycle,Spell,4,-1,-1,-1,-1,"You may destroy one of your opponent's creatures. If you succeed, discard one card at random from your hand"
40,Energy Crab,creature,6,200,100,100,300,"Symbiosis 2, In the symbiotic form, every second creature's additional power doubles"
41,Creature from Beyond,creature,7,0,100,100,500,"Symbiosis 3, In the symbiotic form, combined casual power doubles"
42,God of Hope,creature,5,0,200,100,400,Healer 1/2
43,Fire Salamander,creature,3,100,0,100,300,Healer 1/4
44,The Magic of Death,Spell,4,-1,-1,-1,-1,"Tap one of your creatures. If you succeed,you may destroy one of your opponent's creatures."
45,Violet Settlers,creature,6,0,0,0,100,"Symbiosis 1, In the symbiotic form, combined casual power  doubles"
46,Tactical Knock-out,Spell,2,-1,-1,-1,-1,"In the next battle, your opponent's creature always loses. If your turn ended without this effect being used, your opponent may draw a card and the effect is permanently lost."
47,Jungle Death,creature,3,0,100,100,500,"When this creature is attacked, it gets -300 casual power."
48,Seashore Jaws,creature,2,0,300,100,300,
49,Rock Devourers,creature,4,0,300,100,400,"Symbiosis 2,  In the symbiotic form, everytime it attacks, you may untap chosen creature"
50,Deadly Combination,Spell,jeszcze nie wiem,-1,-1,-1,-1,"Tap two of your creatures. If you succeed,you may destroy one of your opponent's creatures."
51,Mystical Gecko,creature,5,100,0,200,300,"Symbiosis 3, In the symbiotic form, everytime it attacks, you may tap chosen creature"
